rownames,gender,ethnicity,score,fcollege,mcollege,home,urban,unemp,wage,distance,tuition,education,income,region,unemp_wage_interaction,distance_category_Medium,distance_category_Far,parents_college_father,parents_college_mother,parents_college_none
1,male,other,39.15,yes,no,yes,yes,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,high,other,50.15799940299985,False,False,True,False,False
2,female,other,48.87,no,no,yes,yes,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,low,other,50.15799940299985,False,False,False,False,True
3,male,other,48.74,no,no,yes,yes,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,low,other,50.15799940299985,False,False,False,False,True
4,male,afam,40.4,no,no,yes,yes,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,low,other,50.15799940299985,False,False,False,False,True
5,female,other,40.48,no,no,no,yes,5.599999904632568,8.09000015258789,0.4000000059604645,0.8891500234603882,13,low,other,45.30400008296965,False,False,False,False,True
6,male,other,54.71,no,no,yes,yes,5.599999904632568,8.09000015258789,0.4000000059604645,0.8891500234603882,12,low,other,45.30400008296965,False,False,False,False,True
7,female,other,56.07,no,no,yes,no,7.199999809265137,8.850000381469727,0.4000000059604645,0.8498799800872803,13,low,other,63.72000105857842,False,False,False,False,True
8,female,other,54.85,no,no,yes,no,7.199999809265137,8.850000381469727,0.4000000059604645,0.8498799800872803,15,low,other,63.72000105857842,False,False,False,False,True
9,male,other,64.74,yes,no,yes,yes,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,13,low,other,47.73100167179109,True,False,True,False,False
10,female,other,56.06,no,no,yes,yes,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,15,low,other,47.73100167179109,True,False,False,False,True
11,female,other,42.22,no,no,yes,yes,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,12,high,other,47.73100167179109,True,False,False,False,True
12,female,afam,61.18,no,yes,yes,yes,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,14,high,other,47.73100167179109,True,False,False,True,False
13,male,other,59.85,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,15,low,other,63.72000105857842,False,False,False,False,True
14,female,other,58.77,yes,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,17,high,other,63.72000105857842,False,False,True,False,False
15,female,afam,53.72,yes,yes,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,14,low,other,63.72000105857842,False,False,False,False,False
16,male,other,61.52,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,15,low,other,63.72000105857842,False,False,False,False,True
17,female,other,52.53,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,12,high,other,63.72000105857842,False,False,False,False,True
18,female,other,45.01,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,12,low,other,63.72000105857842,False,False,False,False,True
19,female,other,57.71,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,16,low,other,63.72000105857842,False,False,False,False,True
20,female,other,59.36,yes,yes,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,16,high,other,63.72000105857842,False,False,False,False,False
21,female,other,50.93,no,no,yes,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,13,low,other,54.20799836349488,False,False,False,False,True
22,male,other,59.56,yes,no,yes,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,14,high,other,54.20799836349488,False,False,True,False,False
23,male,other,58.46,yes,yes,yes,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,13,low,other,54.20799836349488,False,False,False,False,False
24,female,other,55.7,no,no,no,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,16,low,other,54.20799836349488,False,False,False,False,True
25,male,other,60.81,no,no,yes,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,15,low,other,54.20799836349488,False,False,False,False,True
26,female,afam,40.6,no,no,yes,no,5.400000095367432,8.850000381469727,0.8999999761581421,0.8498799800872803,12,low,other,47.79000290393833,False,False,False,False,True
27,female,other,49.99,no,no,yes,no,5.400000095367432,8.850000381469727,0.8999999761581421,0.8498799800872803,12,low,other,47.79000290393833,False,False,False,False,True
28,male,other,59.69,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,15,low,other,45.1350011014938,False,False,False,False,True
29,male,other,60.33,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,low,other,45.1350011014938,False,False,False,False,True
30,female,other,60.14,yes,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,12,high,other,45.1350011014938,False,False,True,False,False
31,female,other,68.58,yes,yes,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,high,other,45.1350011014938,False,False,False,False,False
32,female,other,42.61,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,12,low,other,45.1350011014938,False,False,False,False,True
33,male,other,58.66,yes,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,high,other,45.1350011014938,False,False,True,False,False
34,male,other,58.14,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,14,low,other,45.1350011014938,False,False,False,False,True
35,female,other,58.95,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,low,other,45.1350011014938,False,False,False,False,True
36,male,other,49.37,no,no,yes,yes,5.400000095367432,8.850000381469727,0.2000000029802322,0.8498799800872803,17,low,other,47.79000290393833,False,False,False,False,True
37,female,other,47.25,no,yes,no,yes,5.400000095367432,8.850000381469727,0.2000000029802322,0.8498799800872803,16,low,other,47.79000290393833,False,False,False,True,False
38,male,other,61.03,yes,no,no,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,14,high,other,50.15799940299985,False,False,True,False,False
39,male,other,54.35,no,no,no,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,high,other,50.15799940299985,False,False,False,False,True
40,female,other,68.12,yes,yes,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,high,other,50.15799940299985,False,False,False,False,False
41,male,other,70.1,yes,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,17,high,other,50.15799940299985,False,False,True,False,False
42,female,other,58.61,no,no,no,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,low,other,50.15799940299985,False,False,False,False,True
43,female,other,48.57,no,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,12,low,other,50.15799940299985,False,False,False,False,True
44,female,other,51.11,no,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,12,low,other,50.15799940299985,False,False,False,False,True
45,female,other,39.41,no,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,low,other,50.15799940299985,False,False,False,False,True
46,female,other,54.98,yes,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,16,high,other,50.68799838256837,False,False,True,False,False
47,female,afam,41.59,yes,yes,no,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,12,low,other,50.68799838256837,False,False,False,False,False
48,female,other,55.32,no,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,13,low,other,50.68799838256837,False,False,False,False,True
